var,1n2,1n5,n
GUST,26.7,29.9,29590738
MXSPD,20.6,24.2,29590738
PRCP,6.1979999999999995,8.306000000000001,27625346
MAX,42.7,44,30626954
TEMP,35.3,37.1,30660460
DEWP,25.2,25.8,28845704
