case_id,p_name,p_year,p_state,p_county,ylat,xlong,p_cap_ac
406008,Three Creeks,2024,FL,Manatee,27.580063,-82.260201,74.5
406009,Sambucus,2024,FL,Manatee,27.445387,-82.065659,74.5
406011,Canoe,2024,FL,Okaloosa,30.678257,-86.78553,74.5
406014,White Tail,2024,FL,Martin,27.079197,-80.379082,74.5
406015,Caloosahatchee,2024,FL,Hendry,26.747511,-81.179428,74.5
406018,Beautyberry,2024,FL,Hendry,26.367563,-81.019211,74.5
406019,Woodyard,2024,FL,Hendry,26.423376,-81.0494,74.5
406021,Silver Palm,2024,FL,Palm Beach,26.78801,-80.351089,74.5
406023,Terrill Creek,2024,FL,Clay,29.876978,-81.758827,74.5
406025,Nature Trail,2024,FL,Baker,30.318174,-82.184425,74.5
406249,Winquepin Renewable Energy Center,2024,FL,Madison,30.296202,-83.300728,74.9
406017,Turnpike,2024,FL,Indian River,27.564936,-80.648796,74.5
405655,Magnolia Solar,2021,FL,Polk,27.914442,-82.052979,74.5
406010,Pineapple,2024,FL,St. Lucie,27.253674,-80.575264,74.5
405844,Chautauqua Solar Energy Center,2023,FL,Walton,30.876143,-86.207741,74.5
406024,Wild Quail,2024,FL,Walton,30.898172,-86.248611,74.5
406022,Pecan Tree,2024,FL,Walton,30.934246,-86.245178,74.5
404832,FPL Chipola River Solar Energy Center,2023,FL,Calhoun,30.454226,-85.277496,74.5
406028,Fourmile Creek,2024,FL,Calhoun,30.441761,-85.276161,74.5
404884,Riverside Solar,2023,FL,Hillsborough,27.673239,-82.452942,55
406012,Sparkleberry,2024,FL,Escambia,30.762449,-87.43692,74.5
406016,Monarch,2024,FL,Martin,27.027128,-80.52755,74.5
406020,Ibis,2024,FL,Brevard,27.853474,-80.682961,74.5
406026,Orchard,2024,FL,DeSoto,27.085934,-81.839691,74.5
406027,Hawthorne Creek,2024,FL,DeSoto,27.074097,-81.83902,74.5
403029,Okeechobee Solar,2020,FL,Okeechobee,27.622055,-80.785553,74.5
405603,Fort Drum Energy Center,2021,FL,Okeechobee,27.617702,-80.793152,74.5
401141,SR Hazlehurst,2015,GA,Jeff Davis,31.808908,-82.580521,21
400648,"Simon Solar Farm, LLC",2013,GA,Walton,33.676121,-83.676674,30
401073,"Decatur Parkway Solar Project, LLC",2015,GA,Decatur,30.992476,-84.636337,81.1
401363,Butler Solar Farm 20,2016,GA,Taylor,32.576111,-84.316376,22
401364,Pawpaw Solar Plant,2016,GA,Taylor,32.572491,-84.261795,30.5
401481,"White Pine Solar, LLC",2016,GA,Taylor,32.503132,-84.256546,101.2
401496,"White Oak Solar, LLC",2016,GA,Burke,33.035133,-82.105797,76.5
401346,Fort Gordon Solar Facility,2016,GA,Richmond,33.387287,-82.13102,30
401366,Taylor County Solar,2016,GA,Taylor,32.585953,-84.301521,146
401911,Old Midville Solar,2016,GA,Jenkins,32.827263,-81.982086,20.2
401347,Kings Bay Solar Facility,2016,GA,Camden,30.83235,-81.556831,30
401480,"Live Oak Solar, LLC",2016,GA,Candler,32.421265,-82.105591,51
401365,Butler Solar Project 103,2016,GA,Taylor,32.562843,-84.286079,103
401357,Marine Corps Logistics Base Solar,2018,GA,Dougherty,31.559109,-84.084457,31.2
402972,"Dougherty County Solar, LLC",2019,GA,Dougherty,31.511614,-84.043564,120
402965,SR Arlington II,2019,GA,Early,31.407942,-84.826866,102.5
402791,Hazlehurst III,2019,GA,Jeff Davis,31.832075,-82.60318,40
